"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Estimations de logement";"Type d'unité";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2005";"Grandes régions urbaines";"";"Logements mis en chantier";"Total d'unités";"Unités";"300";"unités";"0";"v730735";"1.1.1";"19304";"";"";"";"0"
"2006";"Grandes régions urbaines";"";"Logements mis en chantier";"Total d'unités";"Unités";"300";"unités";"0";"v730735";"1.1.1";"19235";"";"";"";"0"
"2007";"Grandes régions urbaines";"";"Logements mis en chantier";"Total d'unités";"Unités";"300";"unités";"0";"v730735";"1.1.1";"15469";"";"";"";"0"
"2008";"Grandes régions urbaines";"";"Logements mis en chantier";"Total d'unités";"Unités";"300";"unités";"0";"v730735";"1.1.1";"11855";"";"";"";"0"
"2009";"Grandes régions urbaines";"";"Logements mis en chantier";"Total d'unités";"Unités";"300";"unités";"0";"v730735";"1.1.1";"9492";"";"";"";"0"
"2010";"Grandes régions urbaines";"";"Logements mis en chantier";"Total d'unités";"Unités";"300";"unités";"0";"v730735";"1.1.1";"11184";"";"";"";"0"
"2011";"Grandes régions urbaines";"";"Logements mis en chantier";"Total d'unités";"Unités";"300";"unités";"0";"v730735";"1.1.1";"10090";"";"";"";"0"
"2012";"Grandes régions urbaines";"";"Logements mis en chantier";"Total d'unités";"Unités";"300";"unités";"0";"v730735";"1.1.1";"9998";"";"";"";"0"
"2013";"Grandes régions urbaines";"";"Logements mis en chantier";"Total d'unités";"Unités";"300";"unités";"0";"v730735";"1.1.1";"10427";"";"";"";"0"
"2014";"Grandes régions urbaines";"";"Logements mis en chantier";"Total d'unités";"Unités";"300";"unités";"0";"v730735";"1.1.1";"10195";"";"";"";"0"
"2015";"Grandes régions urbaines";"";"Logements mis en chantier";"Total d'unités";"Unités";"300";"unités";"0";"v730735";"1.1.1";"9584";"";"";"";"0"
"2016";"Grandes régions urbaines";"";"Logements mis en chantier";"Total d'unités";"Unités";"300";"unités";"0";"v730735";"1.1.1";"10195";"";"";"";"0"
"2017";"Grandes régions urbaines";"";"Logements mis en chantier";"Total d'unités";"Unités";"300";"unités";"0";"v730735";"1.1.1";"11819";"";"";"";"0"
"2018";"Grandes régions urbaines";"";"Logements mis en chantier";"Total d'unités";"Unités";"300";"unités";"0";"v730735";"1.1.1";"12209";"";"";"";"0"
"2019";"Grandes régions urbaines";"";"Logements mis en chantier";"Total d'unités";"Unités";"300";"unités";"0";"v730735";"1.1.1";"11809";"";"";"";"0"
"2020";"Grandes régions urbaines";"";"Logements mis en chantier";"Total d'unités";"Unités";"300";"unités";"0";"v730735";"1.1.1";"11512";"";"";"";"0"
"2021";"Grandes régions urbaines";"";"Logements mis en chantier";"Total d'unités";"Unités";"300";"unités";"0";"v730735";"1.1.1";"14150";"";"";"";"0"
"2022";"Grandes régions urbaines";"";"Logements mis en chantier";"Total d'unités";"Unités";"300";"unités";"0";"v730735";"1.1.1";"14376";"";"";"";"0"
"2023";"Grandes régions urbaines";"";"Logements mis en chantier";"Total d'unités";"Unités";"300";"unités";"0";"v730735";"1.1.1";"9353";"";"";"";"0"
"2005";"Grandes régions urbaines";"";"Logements mis en chantier";"Maisons individuelles";"Unités";"300";"unités";"0";"v730784";"1.1.2";"12189";"";"";"";"0"
"2006";"Grandes régions urbaines";"";"Logements mis en chantier";"Maisons individuelles";"Unités";"300";"unités";"0";"v730784";"1.1.2";"11827";"";"";"";"0"
"2007";"Grandes régions urbaines";"";"Logements mis en chantier";"Maisons individuelles";"Unités";"300";"unités";"0";"v730784";"1.1.2";"9006";"";"";"";"0"
"2008";"Grandes régions urbaines";"";"Logements mis en chantier";"Maisons individuelles";"Unités";"300";"unités";"0";"v730784";"1.1.2";"7047";"";"";"";"0"
"2009";"Grandes régions urbaines";"";"Logements mis en chantier";"Maisons individuelles";"Unités";"300";"unités";"0";"v730784";"1.1.2";"5393";"";"";"";"0"
"2010";"Grandes régions urbaines";"";"Logements mis en chantier";"Maisons individuelles";"Unités";"300";"unités";"0";"v730784";"1.1.2";"6899";"";"";"";"0"
"2011";"Grandes régions urbaines";"";"Logements mis en chantier";"Maisons individuelles";"Unités";"300";"unités";"0";"v730784";"1.1.2";"5707";"";"";"";"0"
"2012";"Grandes régions urbaines";"";"Logements mis en chantier";"Maisons individuelles";"Unités";"300";"unités";"0";"v730784";"1.1.2";"5897";"";"";"";"0"
"2013";"Grandes régions urbaines";"";"Logements mis en chantier";"Maisons individuelles";"Unités";"300";"unités";"0";"v730784";"1.1.2";"5587";"";"";"";"0"
"2014";"Grandes régions urbaines";"";"Logements mis en chantier";"Maisons individuelles";"Unités";"300";"unités";"0";"v730784";"1.1.2";"5663";"";"";"";"0"
"2015";"Grandes régions urbaines";"";"Logements mis en chantier";"Maisons individuelles";"Unités";"300";"unités";"0";"v730784";"1.1.2";"4884";"";"";"";"0"
"2016";"Grandes régions urbaines";"";"Logements mis en chantier";"Maisons individuelles";"Unités";"300";"unités";"0";"v730784";"1.1.2";"5102";"";"";"";"0"
"2017";"Grandes régions urbaines";"";"Logements mis en chantier";"Maisons individuelles";"Unités";"300";"unités";"0";"v730784";"1.1.2";"6703";"";"";"";"0"
