"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Type de structure";"Type de travaux";"Désaisonnalisation";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2017-01";"Canada";"2021A000011124";"Résidentiel et non résidentiel, total";"Types de travaux, total";"Non désaisonnalisé - courant";"Dollars";"81";"unités";"0";"v1579154855";"1.1.1.1";"12770784729";"";"";"";"0"
"2017-02";"Canada";"2021A000011124";"Résidentiel et non résidentiel, total";"Types de travaux, total";"Non désaisonnalisé - courant";"Dollars";"81";"unités";"0";"v1579154855";"1.1.1.1";"11540252186";"";"";"";"0"
"2017-03";"Canada";"2021A000011124";"Résidentiel et non résidentiel, total";"Types de travaux, total";"Non désaisonnalisé - courant";"Dollars";"81";"unités";"0";"v1579154855";"1.1.1.1";"10930595027";"";"";"";"0"
"2017-04";"Canada";"2021A000011124";"Résidentiel et non résidentiel, total";"Types de travaux, total";"Non désaisonnalisé - courant";"Dollars";"81";"unités";"0";"v1579154855";"1.1.1.1";"11637580037";"";"";"";"0"
"2017-05";"Canada";"2021A000011124";"Résidentiel et non résidentiel, total";"Types de travaux, total";"Non désaisonnalisé - courant";"Dollars";"81";"unités";"0";"v1579154855";"1.1.1.1";"13449786370";"";"";"";"0"
"2017-06";"Canada";"2021A000011124";"Résidentiel et non résidentiel, total";"Types de travaux, total";"Non désaisonnalisé - courant";"Dollars";"81";"unités";"0";"v1579154855";"1.1.1.1";"15338878179";"";"";"";"0"
"2017-07";"Canada";"2021A000011124";"Résidentiel et non résidentiel, total";"Types de travaux, total";"Non désaisonnalisé - courant";"Dollars";"81";"unités";"0";"v1579154855";"1.1.1.1";"16158390203";"";"";"";"0"
"2017-08";"Canada";"2021A000011124";"Résidentiel et non résidentiel, total";"Types de travaux, total";"Non désaisonnalisé - courant";"Dollars";"81";"unités";"0";"v1579154855";"1.1.1.1";"15308436618";"";"";"";"0"
"2017-09";"Canada";"2021A000011124";"Résidentiel et non résidentiel, total";"Types de travaux, total";"Non désaisonnalisé - courant";"Dollars";"81";"unités";"0";"v1579154855";"1.1.1.1";"14889349051";"";"";"";"0"
"2017-10";"Canada";"2021A000011124";"Résidentiel et non résidentiel, total";"Types de travaux, total";"Non désaisonnalisé - courant";"Dollars";"81";"unités";"0";"v1579154855";"1.1.1.1";"14911364988";"";"";"";"0"
"2017-11";"Canada";"2021A000011124";"Résidentiel et non résidentiel, total";"Types de travaux, total";"Non désaisonnalisé - courant";"Dollars";"81";"unités";"0";"v1579154855";"1.1.1.1";"15244861697";"";"";"";"0"
"2017-12";"Canada";"2021A000011124";"Résidentiel et non résidentiel, total";"Types de travaux, total";"Non désaisonnalisé - courant";"Dollars";"81";"unités";"0";"v1579154855";"1.1.1.1";"14422799396";"";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Résidentiel et non résidentiel, total";"Types de travaux, total";"Non désaisonnalisé - courant";"Dollars";"81";"unités";"0";"v1579154855";"1.1.1.1";"13317089653";"";"";"";"0"
"2018-02";"Canada";"2021A000011124";"Résidentiel et non résidentiel, total";"Types de travaux, total";"Non désaisonnalisé - courant";"Dollars";"81";"unités";"0";"v1579154855";"1.1.1.1";"12293622225";"";"";"";"0"
"2018-03";"Canada";"2021A000011124";"Résidentiel et non résidentiel, total";"Types de travaux, total";"Non désaisonnalisé - courant";"Dollars";"81";"unités";"0";"v1579154855";"1.1.1.1";"11972843623";"";"";"";"0"
"2018-04";"Canada";"2021A000011124";"Résidentiel et non résidentiel, total";"Types de travaux, total";"Non désaisonnalisé - courant";"Dollars";"81";"unités";"0";"v1579154855";"1.1.1.1";"12814418018";"";"";"";"0"
"2018-05";"Canada";"2021A000011124";"Résidentiel et non résidentiel, total";"Types de travaux, total";"Non désaisonnalisé - courant";"Dollars";"81";"unités";"0";"v1579154855";"1.1.1.1";"14133746117";"";"";"";"0"
"2018-06";"Canada";"2021A000011124";"Résidentiel et non résidentiel, total";"Types de travaux, total";"Non désaisonnalisé - courant";"Dollars";"81";"unités";"0";"v1579154855";"1.1.1.1";"15916198680";"";"";"";"0"
"2018-07";"Canada";"2021A000011124";"Résidentiel et non résidentiel, total";"Types de travaux, total";"Non désaisonnalisé - courant";"Dollars";"81";"unités";"0";"v1579154855";"1.1.1.1";"16713181797";"";"";"";"0"
"2018-08";"Canada";"2021A000011124";"Résidentiel et non résidentiel, total";"Types de travaux, total";"Non désaisonnalisé - courant";"Dollars";"81";"unités";"0";"v1579154855";"1.1.1.1";"16849436755";"";"";"";"0"
