"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Désaisonnalisation";"Prix";"Système de classification des industries de l'Amérique du Nord (SCIAN)";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2023-07";"Canada";"2016A000011124";"Désaisonnalisées au taux annuel";"Dollars enchaînés (2017)";"Ensemble des industries [T001]";"Dollars";"81";"millions";"6";"v65201210";"1.1.1.1";"2205743";"";"";"";"0"
"2023-08";"Canada";"2016A000011124";"Désaisonnalisées au taux annuel";"Dollars enchaînés (2017)";"Ensemble des industries [T001]";"Dollars";"81";"millions";"6";"v65201210";"1.1.1.1";"2206164";"";"";"";"0"
"2023-09";"Canada";"2016A000011124";"Désaisonnalisées au taux annuel";"Dollars enchaînés (2017)";"Ensemble des industries [T001]";"Dollars";"81";"millions";"6";"v65201210";"1.1.1.1";"2206714";"";"";"";"0"
"2023-10";"Canada";"2016A000011124";"Désaisonnalisées au taux annuel";"Dollars enchaînés (2017)";"Ensemble des industries [T001]";"Dollars";"81";"millions";"6";"v65201210";"1.1.1.1";"2207293";"";"";"";"0"
"2023-11";"Canada";"2016A000011124";"Désaisonnalisées au taux annuel";"Dollars enchaînés (2017)";"Ensemble des industries [T001]";"Dollars";"81";"millions";"6";"v65201210";"1.1.1.1";"2212371";"";"";"";"0"
"2023-07";"Canada";"2016A000011124";"Désaisonnalisées au taux annuel";"Dollars enchaînés (2017)";"Construction [23]";"Dollars";"81";"millions";"6";"v65201258";"1.1.1.49";"164912";"";"";"";"0"
"2023-08";"Canada";"2016A000011124";"Désaisonnalisées au taux annuel";"Dollars enchaînés (2017)";"Construction [23]";"Dollars";"81";"millions";"6";"v65201258";"1.1.1.49";"165177";"";"";"";"0"
"2023-09";"Canada";"2016A000011124";"Désaisonnalisées au taux annuel";"Dollars enchaînés (2017)";"Construction [23]";"Dollars";"81";"millions";"6";"v65201258";"1.1.1.49";"166669";"";"";"";"0"
"2023-10";"Canada";"2016A000011124";"Désaisonnalisées au taux annuel";"Dollars enchaînés (2017)";"Construction [23]";"Dollars";"81";"millions";"6";"v65201258";"1.1.1.49";"166449";"";"";"";"0"
"2023-11";"Canada";"2016A000011124";"Désaisonnalisées au taux annuel";"Dollars enchaînés (2017)";"Construction [23]";"Dollars";"81";"millions";"6";"v65201258";"1.1.1.49";"166052";"";"";"";"0"
